trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
473,False,"{'a': 0.004352931715021751, 'e': 0.008705863430043502}",20,8,23.3311126544751,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.004309402397871534, 'e': 0.008618804795743068}",20,0,28.715110335023688,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
475,False,"{'a': 0.0042663083738928185, 'e': 0.008532616747785637}",20,16,6.765139327391745,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.00422364529015389, 'e': 0.00844729058030778}",25,0,34.524246305608216,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
477,False,"{'a': 0.004181408837252351, 'e': 0.008362817674504702}",20,0,31.95730405953218,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
478,False,"{'a': 0.004139594748879828, 'e': 0.008279189497759656}",25,2,37.930255922763365,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.004098198801391029, 'e': 0.008196397602782058}",30,20,19.54664983350074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.004057216813377119, 'e': 0.008114433626754238}",20,5,26.371571841997394,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.004016644645243348, 'e': 0.008033289290486696}",30,9,39.91550671264865,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.003976478198790915, 'e': 0.00795295639758183}",20,16,9.236535175275174,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.003936713416803005, 'e': 0.00787342683360601}",20,0,30.882785445644878,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.0038973462826349748, 'e': 0.0077946925652699495}",25,18,12.899121712724597,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.003858372819808625, 'e': 0.00771674563961725}",25,12,21.476518418718594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.0038197890916105387, 'e': 0.007639578183221077}",30,17,26.690714262591932,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.0037815912006944332, 'e': 0.0075631824013888665}",30,22,13.212539300464556,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.0037437752886874892, 'e': 0.0074875505773749785}",20,0,32.56605648516892,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
489,False,"{'a': 0.003706337535800614, 'e': 0.007412675071601228}",20,10,8.667198654879584,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
490,False,"{'a': 0.003669274160442608, 'e': 0.007338548320885216}",20,12,16.556529353522674,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.0036325814188381818, 'e': 0.0072651628376763635}",25,19,7.403966526463818,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.0035962556046498, 'e': 0.0071925112092996}",20,0,-8.667306755478439,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
